,Cash,Portfolio_value,AAPL,JNJ,SPY,Daily_Return,Rolling_Max,Drawdown
START,10000.0,10000.0,0.0,0.0,0.0,,10000.0,0.0
2020-01-02,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-03,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-06,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-07,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-08,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-09,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-10,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-13,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-14,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-15,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-16,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-17,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-21,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-22,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-23,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-24,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-27,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-28,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-29,10000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-30,7948.58757019043,10000.0,10.0,10.0,0.0,0.0,10000.0,0.0
2020-01-31,7948.58757019043,9952.76741027832,10.0,10.0,0.0,-0.004723258972167965,10000.0,-0.004723258972167969
2020-02-03,7948.58757019043,9961.696701049805,10.0,10.0,0.0,0.0008971666274710799,10000.0,-0.003830329895019531
2020-02-04,7948.58757019043,9998.361206054688,10.0,10.0,0.0,0.003680548214343826,10000.0,-0.00016387939453125
2020-02-05,7948.58757019043,10024.821014404297,10.0,10.0,0.0,0.002646414527771368,10024.821014404297,0.0
2020-02-06,7948.58757019043,10030.007858276367,10.0,10.0,0.0,0.0005174001475554135,10030.007858276367,0.0
2020-02-07,4904.428939819336,10005.490188598633,10.0,10.0,10.0,-0.0024444317516165714,10030.007858276367,-0.0024444317516165615
2020-02-10,4904.428939819336,10031.639251708984,10.0,10.0,10.0,0.0026134714659107328,10031.639251708984,0.0
2020-02-11,4904.428939819336,10033.36051940918,10.0,10.0,10.0,0.00017158389142646335,10033.36051940918,0.0
2020-02-12,4904.428939819336,10063.909759521484,10.0,10.0,10.0,0.0030447665119983647,10063.909759521484,0.0
2020-02-13,4904.428939819336,10046.528625488281,10.0,10.0,10.0,-0.0017270757040283025,10063.909759521484,-0.0017270757040283276
2020-02-14,4904.428939819336,10052.008743286133,10.0,10.0,10.0,0.0005454737653309838,10063.909759521484,-0.0011825440131845368
2020-02-18,4904.428939819336,10021.284255981445,10.0,10.0,10.0,-0.0030565519877018277,10063.909759521484,-0.004235481493632332
2020-02-19,6162.416458129883,10045.522155761719,10.0,0.0,10.0,0.002418642078315214,10063.909759521484,-0.001827083529079648
2020-02-20,6162.416458129883,10024.754867553711,10.0,0.0,10.0,-0.0020673179438558398,10063.909759521484,-0.003890624310370919
2020-02-21,6162.416458129883,9975.423202514648,10.0,0.0,10.0,-0.004920984671528461,10063.909759521484,-0.008792463279305406
2020-02-24,6883.57063293457,9838.109512329102,0.0,0.0,10.0,-0.0137651994705279,10063.909759521484,-0.022436632738956425
2020-02-25,9748.581008911133,9748.581008911133,0.0,0.0,0.0,-0.009100173494284824,10063.909759521484,-0.0313326289826892
2020-02-26,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-02-27,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-02-28,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-02,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-03,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-04,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-05,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-06,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-09,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-10,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-11,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-12,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-13,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-16,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-17,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-18,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-19,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-20,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-23,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-24,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-25,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-26,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-27,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-30,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-03-31,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-04-01,9748.581008911133,9748.581008911133,0.0,0.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-04-02,8616.788940429688,9748.581008911133,0.0,10.0,0.0,0.0,10063.909759521484,-0.0313326289826892
2020-04-03,6329.092864990234,9757.251205444336,0.0,10.0,10.0,0.0008893803647194165,10063.909759521484,-0.030471115242961932
2020-04-06,6329.092864990234,9958.4228515625,0.0,10.0,10.0,0.02061765571905272,10063.909759521484,-0.010481702487364119
2020-04-07,6329.092864990234,9941.531677246094,0.0,10.0,10.0,-0.001696169621252408,10063.909759521484,-0.01216009336327847
2020-04-08,5685.597229003906,10072.697219848633,10.0,10.0,10.0,0.013193695585434595,10072.697219848633,0.0
